title,Final song title,version,titleStripped,automatedFinalTitle,finalTitleComparison,automatedVersion,versionComparison
Almost Beautiful 7 penny arcade @110 +2,,7,almost beautiful,almost beautiful,previously missing,7.0,match
Almost Beautiful 8 bjorn @125 +2,,8,almost beautiful,almost beautiful,previously missing,8.0,match
Almost Beautiful 9 glasto @125,,9,almost beautiful,almost beautiful,previously missing,9.0,match
"Angela, 28 1 bongoloop AJ @85",Any Friend of Diane's,1,"angela,","angela,",Different,28.0,Different
"Angela, 28 2 bongoloop AJ @82",Any Friend of Diane's,2,"angela,","angela,",Different,28.0,Different
"Angela, 28 3 bongoloop AJ @82",Any Friend of Diane's,3,"angela,","angela,",Different,28.0,Different
Anonymous - v11,Anonymous,11,anonymous,anonymous,Match,11.0,match
Anonymous - v12,Anonymous,12,anonymous,anonymous,Match,12.0,match
Anonymous - v13,Anonymous,13,anonymous,anonymous,Match,13.0,match
Anonymous - v14,Anonymous,14,anonymous,anonymous,Match,14.0,match
Anonymous - v14 2,Anonymous,14,anonymous,anonymous,Match,14.0,match
Anonymous - v15,Anonymous,15,anonymous,anonymous,Match,15.0,match
Anonymous - v16,Anonymous,16,anonymous,anonymous,Match,16.0,match
Anonymous - v18,Anonymous,18,anonymous,anonymous,Match,18.0,match
Anonymous - v19,Anonymous,19,anonymous,anonymous,Match,19.0,match
Anonymous - v2,Anonymous,2,anonymous,anonymous,Match,2.0,match
Anonymous - v20,Anonymous,20,anonymous,anonymous,Match,20.0,match
Anonymous - v21,Anonymous,21,anonymous,anonymous,Match,21.0,match
Anonymous - v22,Anonymous,22,anonymous,anonymous,Match,22.0,match
Anonymous - v23,Anonymous,23,anonymous,anonymous,Match,23.0,match
Anonymous - v24,Anonymous,24,anonymous,anonymous,Match,24.0,match
Anonymous - v25,Anonymous,25,anonymous,anonymous,Match,25.0,match
Anonymous - v26,Anonymous,26,anonymous,anonymous,Match,26.0,match
Anonymous - v27,Anonymous,27,anonymous,anonymous,Match,27.0,match
Anonymous - v28,Anonymous,28,anonymous,anonymous,Match,28.0,match
Anonymous - v30,Anonymous,30,anonymous,anonymous,Match,30.0,match
Anonymous - v6,Anonymous,6,anonymous,anonymous,Match,6.0,match
Anonymous - v7,Anonymous,7,anonymous,anonymous,Match,7.0,match
Anonymous - v8,Anonymous,8,anonymous,anonymous,Match,8.0,match
Any Friend Of Diane's 1 bong AJ @92,Any Friend of Diane's,1,any friend of diane's,any friend of diane's,Match,1.0,match
Any Friend of Diane's 10 verse tweaks @88,Any Friend of Diane's,10,any friend of diane's,any friend of diane's,Match,10.0,match
Any Friend of Diane's 12 short verse dirty hands @90,Any Friend of Diane's,12,any friend of diane's,any friend of diane's,Match,12.0,match
Any Friend Of Diane's 2 AJ @89,Any Friend of Diane's,2,any friend of diane's,any friend of diane's,Match,2.0,match
Any Friend of Diane's 3 angela verse @90,Any Friend of Diane's,3,any friend of diane's,any friend of diane's,Match,3.0,match
Any Friend of Diane's 4 angela verse @90,Any Friend of Diane's,4,any friend of diane's,any friend of diane's,Match,4.0,match
Any Friend of Diane's 6 three verses @88,Any Friend of Diane's,6,any friend of diane's,any friend of diane's,Match,6.0,match
Any Friend of Diane's 7 og melody @88,Any Friend of Diane's,7,any friend of diane's,any friend of diane's,Match,7.0,match
Any Friend of Diane's 8 welcome verse @89,Any Friend of Diane's,8,any friend of diane's,any friend of diane's,Match,8.0,match
Any Friend of Diane's 9 dominos verse @89,Any Friend of Diane's,9,any friend of diane's,any friend of diane's,Match,9.0,match
Apples And Oranges 1 AN @59,,1,apples and oranges,apples and oranges,previously missing,1.0,match
as hot as it gets 4 @126,,4,as hot as it gets,as hot as it gets,previously missing,4.0,match
as hot as it gets 5 @128,,5,as hot as it gets,as hot as it gets,previously missing,5.0,match
Attention Deficit Disorder 2,Attention Deficit Disorder,2,attention deficit disorder,attention deficit disorder,Match,2.0,match
Attention Deficit Disorder 3,Attention Deficit Disorder,3,attention deficit disorder,attention deficit disorder,Match,3.0,match
Awaken Early - v2 @118 melody,Summer Elaine and Drunk Dori,2,awaken early,awaken early,Different,2.0,match
Awaken Early - v4 @118 90s dance,Summer Elaine and Drunk Dori,4,awaken early,awaken early,Different,4.0,match
BA 7,,7,ba,ba,previously missing,7.0,match
Ballsy 2 2,Mexican Fender,2,ballsy,ballsy,Different,2.0,match
Bayou 1 @112 -5 AX 15,,1,bayou,bayou,previously missing,1.0,match
Beach Boys 6 acoustic @ 99,Beach Boys,6,beach boys,beach boys,Match,6.0,match
Beach Boys 7 post lyric @ 99,Beach Boys,7,beach boys,beach boys,Match,7.0,match
Beatle That We Loved The Most 21,Eulogy For A Rock Band,21,beatle that we loved the most,beatle that we loved the most,Different,21.0,match
Beautiful Lies - v2 @126,Beautiful Lies,2,beautiful lies,beautiful lies,Match,2.0,match
Beautiful Lies 3 tweaked chorus melody @128,Weekend Woman,3,beautiful lies,beautiful lies,Different,3.0,match
Beautiful Lies 4 INST @64,Weekend Woman,4,beautiful lies,beautiful lies,Different,4.0,match
Beautiful Lies 4 no drums @64,Weekend Woman,4,beautiful lies,beautiful lies,Different,4.0,match
Bedroom Eyes 2 tap tap AI @61.5,Two Broken Hearts,2,bedroom eyes,bedroom eyes,Different,2.0,match
Bedroom Eyes 5 8ths @123,Two Broken Hearts,5,bedroom eyes,bedroom eyes,Different,5.0,match
Bells In My Head - v2 weezered,Bells In My Head,2,bells in my head,bells in my head,Match,2.0,match
Bender 1 @79,,1,bender,bender,previously missing,1.0,match
Bender 15 summer memories @79 -1,,15,bender,bender,previously missing,15.0,match
Bender 16 refined @79 -1,,16,bender,bender,previously missing,16.0,match
Bender 17 drop @79 -1,,17,bender,bender,previously missing,17.0,match
Bender 18 verse lyrics @80 -1,,18,bender,bender,previously missing,18.0,match
Bender 2 @79.mp3,,2,bender,bender,previously missing,2.0,match
Binoculars 5,Binoculars,5,binoculars,binoculars,Match,5.0,match
Binoculars 7,Binoculars,7,binoculars,binoculars,Match,7.0,match
Black White And Blue 1 @120 +1 AY 9,,1,black white and blue,black white and blue,previously missing,1.0,match
Black White And Blue 2 @120 +1 AY 14,,2,black white and blue,black white and blue,previously missing,2.0,match
Black White and Blue 4 @ 120 +1,,4,black white and blue,black white and blue,previously missing,4.0,match
Black White and Blue 5 @ 120 +1,,5,black white and blue,black white and blue,previously missing,5.0,match
Black White and Blue 8 same chords @ 120 +1,,8,black white and blue,black white and blue,previously missing,8.0,match
Black White and Blue 8 same chords @ 120 +1-1,,8,black white and blue,black white and blue,previously missing,8.0,match
Bless The Whole Wide World - v10,Bless the Whole Wide World,10,bless the whole wide world,bless the whole wide world,Match,10.0,match
Bless The Whole Wide World - v11,Bless the Whole Wide World,11,bless the whole wide world,bless the whole wide world,Match,11.0,match
Bless The Whole Wide World - v12,Bless The Whole Wide World,12,bless the whole wide world,bless the whole wide world,Match,12.0,match
Bless The Whole Wide World - v12 2,Bless the Whole Wide World,12,bless the whole wide world,bless the whole wide world,Match,12.0,match
Bless The Whole Wide World - v8,Bless the Whole Wide World,8,bless the whole wide world,bless the whole wide world,Match,8.0,match
Bless The Whole Wide World - v9,Bless the Whole Wide World,9,bless the whole wide world,bless the whole wide world,Match,9.0,match
Bless The Whole Wide World 13 aku @107,Bless The Whole Wide World,13,bless the whole wide world,bless the whole wide world,Match,13.0,match
Bless The Whole World - v5,Bless the Whole Wide World,5,bless the whole world,bless the whole world,Different,5.0,match
Bless The Whole World - v7,Bless the Whole Wide World,7,bless the whole world,bless the whole world,Different,7.0,match
Bless The Whole World 4,Bless The Whole Wide World,4,bless the whole world,bless the whole world,Different,4.0,match
Bone On Bone 1,Bone On Bone,1,bone on bone,bone on bone,Match,1.0,match
Bone On Bone 3,Bone On Bone,3,bone on bone,bone on bone,Match,3.0,match
Bone On Bone 4,Bone On Bone,4,bone on bone,bone on bone,Match,4.0,match
Bone On Bone 5,Bone on Bone,5,bone on bone,bone on bone,Match,5.0,match
Bone On Bone 5,Bone On Bone,5,bone on bone,bone on bone,Match,5.0,match
Boy On Fire 1 AW @78 +3,,1,boy on fire,boy on fire,previously missing,1.0,match
Broken Man 1 @ 92,,1,broken man,broken man,previously missing,1.0,match
Broken Man 2 @ 92,,2,broken man,broken man,previously missing,2.0,match
Broken Man 3 @ 92,,3,broken man,broken man,previously missing,3.0,match
Broken Man 4 @ 92,,4,broken man,broken man,previously missing,4.0,match
California Snow 1 sluggish playboy @134,California Snow,1,california snow,california snow,Match,1.0,match
California Snow 2 sluggish playboy @71,California Snow,2,california snow,california snow,Match,2.0,match
California Snow 21 vocals @75 +4 32 bars,California Snow,21,california snow,california snow,Match,21.0,match
Call The Police 4,Call The Police - v4,4,call the police,call the police,Different,4.0,match
Call The Police 7,Call The Police,7,call the police,call the police,Match,7.0,match
Can't Find You 3,End of the Game,3,can't find you,can't find you,Different,3.0,match
Can't Knock The Hustle 1 @100 -2 AZ 17,Can't Knock the Hustle,1,can't knock the hustle,can't knock the hustle,Match,1.0,match
Can't Knock The Hustle 2 @100 -2 AZ 19,Can't Knock the Hustle,2,can't knock the hustle,can't knock the hustle,Match,2.0,match
Can't Knock The Hustle 2 @100 -2 AZ 19-1,Can't Knock the Hustle,2,can't knock the hustle,can't knock the hustle,Match,2.0,match
Cassandra 2 @124,,2,cassandra,cassandra,previously missing,2.0,match
Charlie Brown - v3,Charlie Brown,3,charlie brown,charlie brown,Match,3.0,match
Cleopatra - v10,Cleopatra,10,cleopatra,cleopatra,Match,10.0,match
Cleopatra - v11,Cleopatra,11,cleopatra,cleopatra,Match,11.0,match
Cleopatra - v12,Cleopatra,12,cleopatra,cleopatra,Match,12.0,match
Cleopatra - v12 1,Cleopatra,12,cleopatra,cleopatra,Match,12.0,match
Cleopatra - v14,Cleopatra,14,cleopatra,cleopatra,Match,14.0,match
Cleopatra - v15,Cleopatra,15,cleopatra,cleopatra,Match,15.0,match
Cleopatra - v16,Cleopatra,16,cleopatra,cleopatra,Match,16.0,match
Cleopatra - v17,Cleopatra,17,cleopatra,cleopatra,Match,17.0,match
Cleopatra - v18,Cleopatra,18,cleopatra,cleopatra,Match,18.0,match
Cleopatra - v19,Cleopatra,19,cleopatra,cleopatra,Match,19.0,match
Cleopatra - v20 no bridge,Cleopatra,20,cleopatra,cleopatra,Match,20.0,match
Cleopatra - v21,Cleopatra,21,cleopatra,cleopatra,Match,21.0,match
Cleopatra - v22,Cleopatra,22,cleopatra,cleopatra,Match,22.0,match
Cleopatra - v23 - verse chords,Cleopatra,23,cleopatra,cleopatra,Match,23.0,match
Cleopatra - v24 og,Cleopatra,24,cleopatra,cleopatra,Match,24.0,match
Cleopatra - v25,Cleopatra,25,cleopatra,cleopatra,Match,25.0,match
Cleopatra - v26,Cleopatra,26,cleopatra,cleopatra,Match,26.0,match
Cleopatra - v27,Cleopatra,27,cleopatra,cleopatra,Match,27.0,match
Cleopatra - v28,Cleopatra,28,cleopatra,cleopatra,Match,28.0,match
Cleopatra - v29,Cleopatra,29,cleopatra,cleopatra,Match,29.0,match
Cleopatra - v33,Cleopatra,33,cleopatra,cleopatra,Match,33.0,match
Cleopatra - v7,Cleopatra,7,cleopatra,cleopatra,Match,7.0,match
Cleopatra - v8,Cleopatra,8,cleopatra,cleopatra,Match,8.0,match
Cloudy day 391,Cloudy Day,39,cloudy day,cloudy day,Match,391.0,Different
Codependent - v10,Codependent,10,codependent,codependent,Match,10.0,match
Codependent - v11 slower,Codependent,11,codependent,codependent,Match,11.0,match
Codependent - v12,Codependent,12,codependent,codependent,Match,12.0,match
Codependent - v13,Codependent,13,codependent,codependent,Match,13.0,match
Codependent - v14,Codependent,14,codependent,codependent,Match,14.0,match
Codependent - v2,Codependent,2,codependent,codependent,Match,2.0,match
Codependent - v3,Codependent,3,codependent,codependent,Match,3.0,match
Codependent - v5,Codependent,5,codependent,codependent,Match,5.0,match
Codependent - v6,Codependent,6,codependent,codependent,Match,6.0,match
Codependent - v7,Codependent,7,codependent,codependent,Match,7.0,match
Codependent - v8,Codependent,8,codependent,codependent,Match,8.0,match
Codependent - v9,Codependent,9,codependent,codependent,Match,9.0,match
crane @124 2,,2,crane,crane,previously missing,124.0,Different
crazy impossible days 3,,3,crazy impossible days,crazy impossible days,previously missing,3.0,match
crazy pulloff riff 2,,2,crazy pulloff riff,crazy pulloff riff,previously missing,2.0,match
Crazy Rock and Rollers 2,,2,crazy rock and rollers,crazy rock and rollers,previously missing,2.0,match
Crazy Rock 'n Rollers 3,Crazy Rock 'n Rollers,3,crazy rock 'n rollers,crazy rock 'n rollers,Match,3.0,match
Dirty Hands 2 ACE OF SPADES drum stem (timpani) @ 94,Any Friend of Diane's,2,dirty hands,dirty hands,Different,2.0,match
Do What Is Best For You 3,Do What is Best for You,3,do what is best for you,do what is best for you,Match,3.0,match
Do You Wanna Get High 1,Do You Wanna Get High,1,do you wanna get high,do you wanna get high,Match,1.0,match
Do You Wanna Get High 2,Do You Wanna Get High,2,do you wanna get high,do you wanna get high,Match,2.0,match
Do You Want To Get High - v11 new bri,Do You Wanna Get High,11,do you want to get high,do you want to get high,Different,11.0,match
Do You Want To Get High - v13 never tired,Do You Wanna Get High,13,do you want to get high,do you want to get high,Different,13.0,match
Do You Want To Get High - v14 alt cho,Do You Wanna Get High,14,do you want to get high,do you want to get high,Different,14.0,match
Do You Want To Get High - v15 alt cho,Do You Wanna Get High,15,do you want to get high,do you want to get high,Different,15.0,match
Do You Want To Get High - v8 1,Do You Wanna Get High,8,do you want to get high,do you want to get high,Different,8.0,match
Do You Want To Get High - v9 jake,Do You Wanna Get High,9,do you want to get high,do you want to get high,Different,9.0,match
Do You Want To Get High 8,Do You Wanna Get High,8,do you want to get high,do you want to get high,Different,8.0,match
Does Anybody Love Anybody - v10 NO D,LA Girlz,10,does anybody love anybody,does anybody love anybody,Different,10.0,match
Does Anybody Love Anybody - v10 RIP @,LA Girlz,10,does anybody love anybody,does anybody love anybody,Different,10.0,match
Does Anybody Love Anybody - v11 meet,LA Girlz,11,does anybody love anybody,does anybody love anybody,Different,11.0,match
Does Anybody Love Anybody - v11 NO D,LA Girlz,11,does anybody love anybody,does anybody love anybody,Different,11.0,match
Does Anybody Love Anybody - v8 bridge sped up,LA Girlz,8,does anybody love anybody,does anybody love anybody,Different,8.0,match
Does Anybody Love Anybody - v9 bridge w/ extended piano intro,LA Girlz,9,does anybody love anybody,does anybody love anybody,Different,9.0,match
"Does Anybody Love Anybody - v9 Bridge, Sped Up, Acoustic & Electric",LA Girlz,9,does anybody love anybody,does anybody love anybody,Different,9.0,match
Does Anybody Love Anybody - v9 Clip N instrumental,LA Girlz,9,does anybody love anybody,does anybody love anybody,Different,9.0,match
Don't Give It up 1 beast drum AG @90,,1,don't give it up,don't give it up,previously missing,1.0,match
Don't Give It Up 3,Summer Elaine and Drunk Dori,3,don't give it up,don't give it up,Different,3.0,match
Don't Go Gentle - v1,Don't Go Gentle,1,don't go gentle,don't go gentle,Match,1.0,match
Don't Go Hulk 1 @ 120,,1,don't go hulk,don't go hulk,previously missing,1.0,match
Don't Mess With My Girl - v2,Don't Mess With My Girl,2,don't mess with my girl,don't mess with my girl,Match,2.0,match
Don't Mess With My Girl - v26,Don't Mess With My Girl,26,don't mess with my girl,don't mess with my girl,Match,26.0,match
Don't Mess With My Girl - v29,Don't Mess With My Girl,29,don't mess with my girl,don't mess with my girl,Match,29.0,match
Don't Mess With My Girl - v3,Don't Mess With My Girl,3,don't mess with my girl,don't mess with my girl,Match,3.0,match
Don't Mess With My Girl - v30,Don't Mess With My Girl,30,don't mess with my girl,don't mess with my girl,Match,30.0,match
Don't Show Us Your Body - v7 Instr,Don't Show Us Your Body,7,don't show us your body,don't show us your body,Match,7.0,match
E C# techo riff 2 chorus 2,It's Been So Long,2,e c# techo riff,e c# techo riff,Different,2.0,match
East Coast Or West Coast - v2,East Coast or West Coast,2,east coast or west coast,east coast or west coast,Match,2.0,match
East Coast Or West Coast - v3,East Coast or West Coast,3,east coast or west coast,east coast or west coast,Match,3.0,match
East Coast Or West Coast - v4,East Coast or West Coast,4,east coast or west coast,east coast or west coast,Match,4.0,match
East Coast Or West Coast - v4 No,East Coast or West Coast,4,east coast or west coast,east coast or west coast,Match,4.0,match
East Coast Or West Coast - v5 - vPa,East Coast or West Coast,5,east coast or west coast,east coast or west coast,Match,5.0,match
El Presidente 5,El Presidente,5,el presidente,el presidente,Match,5.0,match
El Presidente 6,El Presidente,6,el presidente,el presidente,Match,6.0,match
Empty Inside - v10,Empty Inside,10,empty inside,empty inside,Match,10.0,match
Empty Inside - v10 1,Empty Inside,10,empty inside,empty inside,Match,10.0,match
Empty Inside - v5,Empty Inside,5,empty inside,empty inside,Match,5.0,match
Empty Inside - v6,Empty Inside,6,empty inside,empty inside,Match,6.0,match
Empty Inside - v7,Empty Inside,7,empty inside,empty inside,Match,7.0,match
Empty Inside - v8,Empty Inside,8,empty inside,empty inside,Match,8.0,match
Empty Inside - v9,Empty Inside,9,empty inside,empty inside,Match,9.0,match
Empty Inside 10,Empty Inside,10,empty inside,empty inside,Match,10.0,match
Empty Nest - v6,Empty Nest,6,empty nest,empty nest,Match,6.0,match
Empty Nest - v7,Empty Nest,7,empty nest,empty nest,Match,7.0,match
Empty Nest - v8,Empty Nest,8,empty nest,empty nest,Match,8.0,match
Empty Nest - v8 1,Empty Nest,8,empty nest,empty nest,Match,8.0,match
Everybody Needs Salvation - v11,Everybody Needs Salvation,11,everybody needs salvation,everybody needs salvation,Match,11.0,match
Everybody Needs Salvation - v14,Everybody Needs Salvation,14,everybody needs salvation,everybody needs salvation,Match,14.0,match
Everybody Needs Salvation - v2,Everybody Needs Salvation,2,everybody needs salvation,everybody needs salvation,Match,2.0,match
Everybody Needs Salvation - v2 1,Everybody Needs Salvation,2,everybody needs salvation,everybody needs salvation,Match,2.0,match
Everybody Needs Salvation - v3,Everybody Needs Salvation,3,everybody needs salvation,everybody needs salvation,Match,3.0,match
Everyone Knows 8,Everyone Knows,8,everyone knows,everyone knows,Match,8.0,match
Exonerate Me - v4,Exonerate Me,4,exonerate me,exonerate me,Match,4.0,match
Exonerate Me - v5,Exonerate Me,5,exonerate me,exonerate me,Match,5.0,match
Exonerate Me - v6,Exonerate Me,6,exonerate me,exonerate me,Match,6.0,match
Exonerate Me - v6 1,Exonerate Me,6,exonerate me,exonerate me,Match,6.0,match
Expatriate In LA 7,Expatriates In Paris,7,expatriate in la,expatriate in la,Different,7.0,match
Expatriate In LA 8,Expatriates In Paris,8,expatriate in la,expatriate in la,Different,8.0,match
Expatriates In Paris 1,Expatriates In Paris,1,expatriates in paris,expatriates in paris,Match,1.0,match
Expatriates In Paris 10,Expatriates In Paris,10,expatriates in paris,expatriates in paris,Match,10.0,match
Expatriates In Paris 10 1,Expatriates In Paris,10,expatriates in paris,expatriates in paris,Match,10.0,match
Expatriates In Paris 11,Expatriates In Paris,11,expatriates in paris,expatriates in paris,Match,11.0,match
Expatriates In Paris 2 we be,Expatriates In Paris,2,expatriates in paris,expatriates in paris,Match,2.0,match
Expatriates In Paris 4,Expatriates In Paris,4,expatriates in paris,expatriates in paris,Match,4.0,match
Expatriates In Paris 5,Expatriates In Paris,5,expatriates in paris,expatriates in paris,Match,5.0,match
Expatriates In Paris 6,Expatriates In Paris,6,expatriates in paris,expatriates in paris,Match,6.0,match
Expatriates In Paris 9,Expatriates In Paris,9,expatriates in paris,expatriates in paris,Match,9.0,match
Fair Weather Friend - v6,Fair Weather Friend,6,fair weather friend,fair weather friend,Match,6.0,match
Fair Weather Friend - v7,Fair Weather Friend,7,fair weather friend,fair weather friend,Match,7.0,match
Fair Weather Friend - v8,Fair Weather Friend,8,fair weather friend,fair weather friend,Match,8.0,match
Fair Weather Friends - v5,Fair Weather Friend,5,fair weather friends,fair weather friends,Different,5.0,match
Fake Smiles - v4,Fake Smiles and Nervous Laughter,4,fake smiles,fake smiles,Different,4.0,match
Fake Smiles And Nervous Laughter - v5,Fake Smiles and Nervous Laughter,5,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,5.0,match
Fake Smiles And Nervous Laughter - v6,Fake Smiles and Nervous Laughter,6,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,6.0,match
Fake Smiles And Nervous Laughter - v7,Fake Smiles and Nervous Laughter,7,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,7.0,match
Fake Smiles And Nervous Laughter - v8,Fake Smiles and Nervous Laughter,8,fake smiles and nervous laughter,fake smiles and nervous laughter,Match,8.0,match
Fan Fiction 1 AS master_pw @86,,1,fan fiction,fan fiction,previously missing,1.0,match
Finish Line 3,,3,finish line,finish line,previously missing,3.0,match
Four Leaf Clover 10,Four Leaf Clover,10,four leaf clover,four leaf clover,Match,10.0,match
Four Leaf Clover 8,Four Leaf Clover,8,four leaf clover,four leaf clover,Match,8.0,match
Four Leaf Clover 9,Four Leaf Clover,9,four leaf clover,four leaf clover,Match,9.0,match
Freak Flag - v5,Freak Flag,5,freak flag,freak flag,Match,5.0,match
Freak Flag - v6,Freak Flag,6,freak flag,freak flag,Match,6.0,match
Freak Flag - v7,Freak Flag,7,freak flag,freak flag,Match,7.0,match
Freak Flag - v8,Freak Flag,8,freak flag,freak flag,Match,8.0,match
Freaky Flag - v4,Freak Flag,4,freaky flag,freaky flag,Different,4.0,match
Friday Feeling 1 voice AI @99,Medicine for Melancholy,1,friday feeling,friday feeling,Different,1.0,match
Friday Feeling 10 insecure @102,Medicine for Melancholy,10,friday feeling,friday feeling,Different,10.0,match
Friday Feeling 12 dumdiddy.heyman.medicine @104,Medicine for Melancholy,12,friday feeling,friday feeling,Different,12.0,match
Friday Feeling 12 dumdiddy.heyman.medicine @104 VOCALS,,12,friday feeling,friday feeling,previously missing,12.0,match
Friday Feeling 13 minor verse @104,Medicine for Melancholy,13,friday feeling,friday feeling,Different,13.0,match
Friday Feeling 13 someone single @104,Medicine for Melancholy,13,friday feeling,friday feeling,Different,13.0,match
Friday Feeling 14 I ii I V verse @104,Medicine for Melancholy,14,friday feeling,friday feeling,Different,14.0,match
Friday Feeling 15 verse two @104,Medicine for Melancholy,15,friday feeling,friday feeling,Different,15.0,match
Friday Feeling 16 half choruses @104,Medicine for Melancholy,16,friday feeling,friday feeling,Different,16.0,match
Friday Feeling 17 pre lyric @104,Medicine for Melancholy,17,friday feeling,friday feeling,Different,17.0,match
Friday Feeling 22 reggae @102,Medicine for Melancholy,22,friday feeling,friday feeling,Different,22.0,match
Friday Feeling 23 cleanriff @100,Medicine for Melancholy,23,friday feeling,friday feeling,Different,23.0,match
